Text,Character,Affiliation,Season,Episode,EpisodeName
Kevan Lannister:  First we must return to Casterly Rock to raise –,ADDAM MARBRAND,WESTERLANDS,1,10,Fire and Blood
ls it true about Stannis and Renly?,ADDAM MARBRAND,WESTERLANDS,1,10,Fire and Blood
" Lord, take your servant Balon back beneath the waves. Feed the creatures of your kingdom on his flesh. Pull his bones down to your depths to rest beside his ancestors and his children.",AERON GREYJOY,IRON ISLANDS,6,2,Home
" The Salt Throne is not yours to swear upon, not unless the kingsmoot chooses you.",AERON GREYJOY,IRON ISLANDS,6,2,Home
Your father does not get to choose. The law is clear. Perhaps you'll win. Perhaps you’ll be the first woman in history to rule the Ironborn. And perhaps not.,AERON GREYJOY,IRON ISLANDS,6,2,Home
" May Euron, your servant, be born again from the sea as you were. Bless him with salt. Bless him with stone. Bless him with steel.",AERON GREYJOY,IRON ISLANDS,6,5,The Door
" What is dead may never die, but rises again harder and stronger.",AERON GREYJOY,IRON ISLANDS,6,5,The Door
Let the fish eat the scales off his eyes.,AERON GREYJOY,IRON ISLANDS,6,5,The Door
Listen to the waves. Listen to the god. He is speaking to us and he says we shall have no king but Euron Greyjoy. Let the sea wash your follies and your vanities away. Let the old Euron drown. Let his lungs fill with seawater.,AERON GREYJOY,IRON ISLANDS,6,5,The Door
They stole our best ships.,AERON GREYJOY,IRON ISLANDS,6,5,The Door
We speak in the presence of the Drowned God. In his name we father today to choose a new king as our leader. Who makes a claim?,AERON GREYJOY,IRON ISLANDS,6,5,The Door
What is dead may never die.,AERON GREYJOY,IRON ISLANDS,6,5,The Door
" If that were a real sword, you'd be dead. Lord Snow here grew up in a castle spitting down on the likes of you. Pyp. Do you think Ned Stark's bastard bleeds like the rest of us?",ALLISER THORNE,WALL,1,3,Lord Snow
" Lord Snow, it appears you're the least useless person here. Go clean yourselves up. There's only so much I can stomach in a day.",ALLISER THORNE,WALL,1,3,Lord Snow
Next!,ALLISER THORNE,WALL,1,3,Lord Snow
Next!,ALLISER THORNE,WALL,1,3,Lord Snow
" A bit nippy, yeah, by the fire, indoors. It's still summer. Do you boys even remember the last winter? How long has it been now? What, 10 years? I remember. Was it uncomfortable at Winterfell? Were there days when you just couldn't get warm, never mind how many fires your servants built?",ALLISER THORNE,WALL,1,4,"Cripples, Bastards, and Broken Things"
" Enjoying yourselves? You look cold, boys.",ALLISER THORNE,WALL,1,4,"Cripples, Bastards, and Broken Things"
" Looks like the bastard's in love. All right then, lord Snow, you wish to defend your lady love, let's make it an exercise. You two. Three of you ought to be sufficient to make lady piggy squeal. All you've got to do is get past the bastard.",ALLISER THORNE,WALL,1,4,"Cripples, Bastards, and Broken Things"
" On your feet. Pick up your sword. Hit him till he finds his feet. It seems they've run short of poachers and thieves down south. Now they send us squealing bloody pigs. Again, harder.",ALLISER THORNE,WALL,1,4,"Cripples, Bastards, and Broken Things"
" That's admirable. I spent six months out there, beyond the Wall during the last winter. It was supposed to be a two-week mission. We heard a rumor Mance Rayder was planning to attack Eastwatch. So we went out to look for some of his men... Capture them, gather some knowledge. The Wildlings who fight for Mance Rayder are hard men. Harder than you'll ever be. They know their country better than we do. They knew there was a storm coming in. So they hid in their caves and waited for it to pass. And we got caught in the open. Wind so strong it yanked 100-foot trees straight from the ground, roots and all. If you took your gloves off to find your cock to have a piss, you lost a finger to the frost. And all in darkness. You don't know cold. Neither of you do. The horses died first. We didn't have enough to feed them, to keep them warm. Eating the horses was easy. But later when we started to fall... That wasn't easy. We should have had a couple of boys like you along, shouldn't we? Soft, fat boys like you. We'd have lasted a fortnight on you and still had bones leftover for soup. Soon we'll have new recruits and you lot will be passed along to the Lord Commander for assignment and they will call you men of the Night's Watch, but you'd be fools to believe it. You're boys still. And come the winter you will die... Like flies.",ALLISER THORNE,WALL,1,4,"Cripples, Bastards, and Broken Things"
" Well, you couldn't be any worse than you look. See what he can do.",ALLISER THORNE,WALL,1,4,"Cripples, Bastards, and Broken Things"
" What are you waiting for? Attack him! You, get in there.",ALLISER THORNE,WALL,1,4,"Cripples, Bastards, and Broken Things"
" You think this is funny, do you? When you're out there beyond the Wall with the sun going down, do you want a man at your back? Or a sniveling boy?",ALLISER THORNE,WALL,1,4,"Cripples, Bastards, and Broken Things"
Tell them your name.,ALLISER THORNE,WALL,1,4,"Cripples, Bastards, and Broken Things"
We're done for today. Go clean the armory. That's all you're good for.,ALLISER THORNE,WALL,1,4,"Cripples, Bastards, and Broken Things"
"  Blood will always tell. You'll hang for this, bastard.",ALLISER THORNE,WALL,1,8,The Pointy End
"  Now there's a rare sight. Not only a bastard, but a traitor's bastard.",ALLISER THORNE,WALL,1,8,The Pointy End
" Lord Commander, Maester Aemon awaits you in his chambers. A raven from King's Landing.",ALLISER THORNE,WALL,1,8,The Pointy End
" I am acting commander here, Maester Aemon.",ALLISER THORNE,WALL,4,1,Two Swords
And I don't trust the bastard.,ALLISER THORNE,WALL,4,1,Two Swords
And you always know when a man's telling a lie? How did you acquire this magical power?,ALLISER THORNE,WALL,4,1,Two Swords
Don't talk about the Halfhand as if you knew him. He was my brother.,ALLISER THORNE,WALL,4,1,Two Swords
Impossible. You can't get 50 wildlings together before they start killing each other.,ALLISER THORNE,WALL,4,1,Two Swords
No? You put your sword through a brother of the Night's Watch. What do you call that?,ALLISER THORNE,WALL,4,1,Two Swords
So you admit you murdered Qhorin Halfhand?,ALLISER THORNE,WALL,4,1,Two Swords
There's a difference between sneaking off to the Mole's Town brothel and sleeping with the enemy.,ALLISER THORNE,WALL,4,1,Two Swords
" If we go after them, we'll be giving them what they want. They want to draw us out, pick us off a few at a time.",ALLISER THORNE,WALL,4,3,Breaker of Chains
" There he is, Sam the Slayer.",ALLISER THORNE,WALL,4,3,Breaker of Chains
" We just went over this, boy. -Justice can wait.",ALLISER THORNE,WALL,4,3,Breaker of Chains
" You're a champion of the common people, Lord Snow. What do you say to Brother Pyp's proposition?",ALLISER THORNE,WALL,4,3,Breaker of Chains
By what?,ALLISER THORNE,WALL,4,3,Breaker of Chains
We need to shore up Castle Black and we need to defend the Wall. That is our job.,ALLISER THORNE,WALL,4,3,Breaker of Chains
What took you so long?,ALLISER THORNE,WALL,4,3,Breaker of Chains
" Come on, get on with it. What are you waiting for? Summer?",ALLISER THORNE,WALL,4,4,Oathkeeper
" Grenn's a ranger.You're a steward. Maybe you forgot that while you were off with your wildling bitch, but I didn't.",ALLISER THORNE,WALL,4,4,Oathkeeper
" Your foray to Craster's Keep, I'll sanction it. But I won't order anyone to go with you. Volunteers only.",ALLISER THORNE,WALL,4,4,Oathkeeper
(nods),ALLISER THORNE,WALL,4,4,Oathkeeper
And that someone isn't you. Go find a chamber pot to empty. Go on. Do it. You traitor's bastard. Give me an excuse. Mormont's not hereto protect you now.,ALLISER THORNE,WALL,4,4,Oathkeeper
Get back to work. Now! I said now!,ALLISER THORNE,WALL,4,4,Oathkeeper
Lord Snow. What do you think you're doing?,ALLISER THORNE,WALL,4,4,Oathkeeper
You think I care if they like me? We're at war.,ALLISER THORNE,WALL,4,4,Oathkeeper
" Coward. You would cut off our legs, pluck out our eyes, leave us cowering behind the Wall hoping for the storm to pass?",ALLISER THORNE,WALL,4,7,Mockingbird
" Given your deep knowledge of the wildling army, Lord Snow, you and Tarly will take night duties atop the Wall until the full moon.",ALLISER THORNE,WALL,4,7,Mockingbird
" Moving on. First Builder, we'll need 100 barrels of pitch brought atop the wall.",ALLISER THORNE,WALL,4,7,Mockingbird
" Remind me which order you belong to, Lord Snow.",ALLISER THORNE,WALL,4,7,Mockingbird
" This castle has stood for thousands of years. The Night's Watch has defended her for thousands of years. And in all those centuries, we have never sealed the tunnel.",ALLISER THORNE,WALL,4,7,Mockingbird
"Ah, the builders. First Builder Yarwyck, Lord Snow here recommends sealing the tunnel, leaving us unable to carry out our duties as sworn brothers of the Night's Watch. Do you agree with him?",ALLISER THORNE,WALL,4,7,Mockingbird
And how would we range north?,ALLISER THORNE,WALL,4,7,Mockingbird
Are the stewards responsible for maintaining the tunnel?,ALLISER THORNE,WALL,4,7,Mockingbird
Lord Snow.,ALLISER THORNE,WALL,4,7,Mockingbird
The bars on those gates are four inches thick. Cold-rolled steel.,ALLISER THORNE,WALL,4,7,Mockingbird
This is no place for wild beasts. Lock him away or I'll let Hobb throw him in tonight's stew.,ALLISER THORNE,WALL,4,7,Mockingbird
We've been preparing.,ALLISER THORNE,WALL,4,7,Mockingbird
Who would that be?,ALLISER THORNE,WALL,4,7,Mockingbird
" Archers knock, everyone else hold.",ALLISER THORNE,WALL,4,9,The Watchers on the Wall
" Do you know what leadership means, Lord Snow? It means that the person in charge gets second-guessed by every clever little twat with a mouth. But if he starts second-guessing himself, that's the end. For him. For the clever little twats. For everyone. This is not the end. Not for us. Not if you lot do your duty for however long it takes to beat them back. And then you get to go on hating me and I get to go on wishing your Wildling whore had finished the job.",ALLISER THORNE,WALL,4,9,The Watchers on the Wall
" I'm going down then. Brother Slynt, you have The Wall.",ALLISER THORNE,WALL,4,9,The Watchers on the Wall
" Tonight we fight. And when the sun rises I promise you, Castle Black will stand.",ALLISER THORNE,WALL,4,9,The Watchers on the Wall
" What are you fucking waiting for, loose!",ALLISER THORNE,WALL,4,9,The Watchers on the Wall
" With me now! Now, with me!",ALLISER THORNE,WALL,4,9,The Watchers on the Wall
A hundred thousand you say?,ALLISER THORNE,WALL,4,9,The Watchers on the Wall
Brothers! A hundred generations have defended this castle. We've never fallen before. She will not fall tongiht. Those are Things at our walls. They eat the flesh of the men they kill. Do you want to fill the belly of a Thing tonight?,ALLISER THORNE,WALL,4,9,The Watchers on the Wall
Does fucking hold mean fucking drop?!,ALLISER THORNE,WALL,4,9,The Watchers on the Wall
Get ready!,ALLISER THORNE,WALL,4,9,The Watchers on the Wall
Hold the fucking gate! Hold it!,ALLISER THORNE,WALL,4,9,The Watchers on the Wall
I said knock and hold you cunts! Does knock mean draw?!,ALLISER THORNE,WALL,4,9,The Watchers on the Wall
Now?,ALLISER THORNE,WALL,4,9,The Watchers on the Wall
Protect the gate!,ALLISER THORNE,WALL,4,9,The Watchers on the Wall
That's very good to hear. Draw!,ALLISER THORNE,WALL,4,9,The Watchers on the Wall
The Night's Watch will stand.,ALLISER THORNE,WALL,4,9,The Watchers on the Wall
You all plan to die here tonight?,ALLISER THORNE,WALL,4,9,The Watchers on the Wall
You can say it if you like. We should've sealed the tunnel while we had the chance like you suggested.,ALLISER THORNE,WALL,4,9,The Watchers on the Wall
Not soldiers.,ALLISER THORNE,WALL,5,1,The Wars to Come
These men need a firm hand. Always have. They’re poachers and thieves.,ALLISER THORNE,WALL,5,1,The Wars to Come
" I can't argue with any of that. (stands up) But who does Jon Snow want to command? Night's Watch or the wildlings? Everyone knows he loved a wildling girl and spoke with Mance Rayder many times. What would have happened in that tent between those two old friends if Stannis's army hadn't come along? We all saw him put the King-beyond-the-Wall out of his misery. Do you want to choose a man who has fought the wildlings all his life, or a man who makes love to them?",ALLISER THORNE,WALL,5,2,The House of Black and White
Crowded. You'd think we were serving venison stew.,ALLISER THORNE,WALL,5,2,The House of Black and White
We've been fighting them all for thousands of years. They've slaughtered villages. They've slaughtered our brothers.,ALLISER THORNE,WALL,5,5,Kill the Boy
" Lord Commander, it is my duty to tell you I believe this mission to be reckless, foolhardy, and an insult to all of the Brothers that have died fighting the wildlings.",ALLISER THORNE,WALL,5,7,The Gift
" You’re losing all your friends, Tarly.",ALLISER THORNE,WALL,5,7,The Gift
" You have a good heart, Jon Snow. It will get us all killed.",ALLISER THORNE,WALL,5,9,The Dance of Dragons
Open the gates.,ALLISER THORNE,WALL,5,9,The Dance of Dragons
Could be. There are ways to find out.,ALLISER THORNE,WALL,5,10,Mother's Mercy
For the Watch.,ALLISER THORNE,WALL,5,10,Mother's Mercy
Man says he saw your uncle at Hardhome the last full moon.,ALLISER THORNE,WALL,5,10,Mother's Mercy
Over there.,ALLISER THORNE,WALL,5,10,Mother's Mercy
" I will grant amnesty to all brothers who thrown down their arms before nightfall. And you, Ser Davos, I will allow you to travel south, a free man with a fresh horse.",ALLISER THORNE,WALL,6,1,The Red Woman
" Ser Davos, we have no cause to fight. We are both anointed knights.",ALLISER THORNE,WALL,6,1,The Red Woman
" We’ll give you food. You can bring the Red Woman with you if you like. Or you can leave her here with us, whichever you choose. But surrender by nightfall or this ends with blood.",ALLISER THORNE,WALL,6,1,The Red Woman
" We’ve committed treason, all of us. Jon Snow was my Lord Commander. I had no love for him. That was no secret. But I never once disobeyed an order. Loyalty is the foundation on which the Night’s Watch is built, and the Watch means everything to me. I have given my life, we have all given our lives to the Night’s Watch. Jon Snow was going to destroy the Night’s Watch. He let the wildlings through our gates, as no Lord Commander has ever done before. He gave them the very land on which they reaved and raped and murdered. Lord Commander Snow did what he thought was right, I’ve no doubt about that. And what he thought was right would have been the end of us. He thrust a terrible choice upon us, and we made it.",ALLISER THORNE,WALL,6,1,The Red Woman
And Bowen Marsh and Othell Yarwyck and the other officers in this castle.,ALLISER THORNE,WALL,6,1,The Red Woman
He was our Lord Commander!,ALLISER THORNE,WALL,6,1,The Red Woman
I did.,ALLISER THORNE,WALL,6,1,The Red Woman
What?,ALLISER THORNE,WALL,6,1,The Red Woman
You all know why you’re here. Jon Snow is dead.,ALLISER THORNE,WALL,6,1,The Red Woman
You’re right!,ALLISER THORNE,WALL,6,1,The Red Woman
" Fight, you cowards!",ALLISER THORNE,WALL,6,2,Home
" It’s time, Ser Davos. Open the door and the men inside can rejoin their brothers in peace. We’ll even set the wolf free north of the Wall where it belongs. Nobody needs to die tonight.",ALLISER THORNE,WALL,6,2,Home
Attack!,ALLISER THORNE,WALL,6,2,Home
Come on.,ALLISER THORNE,WALL,6,2,Home
For thousands of years the Night’s Watch has held Castle Black against the Wildlings.,ALLISER THORNE,WALL,6,2,Home
You fucking traitor.,ALLISER THORNE,WALL,6,2,Home
" I fought, I lost. Now I rest. But you, Lord Snow, you’ll be fighting their battles forever.",ALLISER THORNE,WALL,6,3,Oathbreaker
" I had a choice, Lord Commander. Betray you or betray the Night’s Watch. You brought an army of wildlings into our lands. An army of muderers and raiders. If I had to do it all over knowing where I’d end up, I pray I’d make the right choice again.",ALLISER THORNE,WALL,6,3,Oathbreaker
" An honorable request, Your Grace.",ALTON LANNISTER,WESTERLANDS,2,1,The North Remembers
" I am, Your Grace.",ALTON LANNISTER,WESTERLANDS,2,1,The North Remembers
" King Joffrey is a Baratheon, Your Grace.",ALTON LANNISTER,WESTERLANDS,2,1,The North Remembers
" These are... Your Grace, these are...",ALTON LANNISTER,WESTERLANDS,2,1,The North Remembers
" I did. They have not broken his spirit, Your Grace.",ALTON LANNISTER,WESTERLANDS,2,2,The Night Lands
" I will, Your Grace.",ALTON LANNISTER,WESTERLANDS,2,2,The Night Lands
" I will, Your Grace.",ALTON LANNISTER,WESTERLANDS,2,2,The Night Lands
" How could you? Sorry, I I didn't mean to doubt you.",ALTON LANNISTER,WESTERLANDS,2,7,A Man Without Honor
" I remember everything about that day, your helmet, your horse, the rake lines in the dirt along the list, where the sun was in the sky when you knocked Balon from his horse, and the dent in your shield when you handed it back to me. I'll remember it all until I die. That was the best day of my life. And I remember being on the field after it was over. All the competitors were done. I was the last one out there. And I couldn't leave. I couldn't bring myself to go and sit with my family at a table so far on the edge of the feast you could barely even see the bride. And I couldn't bear to tell them what it had been like squiring for you, when I knew that they could never have the faintest idea what I was talking about.",ALTON LANNISTER,WESTERLANDS,2,7,A Man Without Honor
" I squired for you once, you know.",ALTON LANNISTER,WESTERLANDS,2,7,A Man Without Honor
" She admired your spirit, Your Grace.",ALTON LANNISTER,WESTERLANDS,2,7,A Man Without Honor
" She tore the paper in half, Your Grace.",ALTON LANNISTER,WESTERLANDS,2,7,A Man Without Honor
" That's right. I ran up and volunteered. ""Let me, my lord. Let me. "" My father was furious. Afraid I'd embarrass our family in front of the Family.",ALTON LANNISTER,WESTERLANDS,2,7,A Man Without Honor
" The tournament, the day of Willem Frey's wedding.",ALTON LANNISTER,WESTERLANDS,2,7,A Man Without Honor
" Well, let me help you.",ALTON LANNISTER,WESTERLANDS,2,7,A Man Without Honor
" Well, perhaps she's gotten a little larger than she",ALTON LANNISTER,WESTERLANDS,2,7,A Man Without Honor
(nods),ALTON LANNISTER,WESTERLANDS,2,7,A Man Without Honor
(nods) Leaving that battlefield was like being dragged off to prison.,ALTON LANNISTER,WESTERLANDS,2,7,A Man Without Honor
(smiles),ALTON LANNISTER,WESTERLANDS,2,7,A Man Without Honor
And have you thought about,ALTON LANNISTER,WESTERLANDS,2,7,A Man Without Honor
And?,ALTON LANNISTER,WESTERLANDS,2,7,A Man Without Honor
Bryan.,ALTON LANNISTER,WESTERLANDS,2,7,A Man Without Honor
Cinda Lannister.,ALTON LANNISTER,WESTERLANDS,2,7,A Man Without Honor
Did you squire for him again?,ALTON LANNISTER,WESTERLANDS,2,7,A Man Without Honor
I Never mind. It's embarrassing.,ALTON LANNISTER,WESTERLANDS,2,7,A Man Without Honor
It's hard to put into words.,ALTON LANNISTER,WESTERLANDS,2,7,A Man Without Honor
She,ALTON LANNISTER,WESTERLANDS,2,7,A Man Without Honor
Tell me.,ALTON LANNISTER,WESTERLANDS,2,7,A Man Without Honor
What is it?,ALTON LANNISTER,WESTERLANDS,2,7,A Man Without Honor
What was he like?,ALTON LANNISTER,WESTERLANDS,2,7,A Man Without Honor
When I think back to that day,ALTON LANNISTER,WESTERLANDS,2,7,A Man Without Honor
Which knight was it?,ALTON LANNISTER,WESTERLANDS,2,7,A Man Without Honor
You did. Your squire had gotten so drunk the night before that he threw up.,ALTON LANNISTER,WESTERLANDS,2,7,A Man Without Honor
You really remember?,ALTON LANNISTER,WESTERLANDS,2,7,A Man Without Honor
" Ser Amory Lorch, sworn bannerman to Lord Tywin Lannister. These men from the capital requested our assistance. Drop your weapons in the name of the King.",AMORY LORCH,WESTERLANDS,2,3,What Is Dead May Never Die
" This is your last chance. In the name of King Joffrey, drop your weapons.",AMORY LORCH,WESTERLANDS,2,3,What Is Dead May Never Die
" Where's the bastard, crow?",AMORY LORCH,WESTERLANDS,2,3,What Is Dead May Never Die
Round up any survivors. We'll take them back to Harrenhal.,AMORY LORCH,WESTERLANDS,2,3,What Is Dead May Never Die
So be it.,AMORY LORCH,WESTERLANDS,2,3,What Is Dead May Never Die
We're looking for a bastard named Gendry. Give him up or I'll start taking eyeballs.,AMORY LORCH,WESTERLANDS,2,3,What Is Dead May Never Die
Our spies report growing discontent among the Northern lords. They want to return home and gather the harvest before the crops turn.,AMORY LORCH,WESTERLANDS,2,5,The Ghost of Harrenhal
" My apologies, my lord. I must have",AMORY LORCH,WESTERLANDS,2,6,The Old Gods and the New
" My lord, I",AMORY LORCH,WESTERLANDS,2,6,The Old Gods and the New
" Where are you going, girl?",AMORY LORCH,WESTERLANDS,2,6,The Old Gods and the New
Move! Get out of the way!,AMORY LORCH,WESTERLANDS,2,6,The Old Gods and the New
My lord?,AMORY LORCH,WESTERLANDS,2,6,The Old Gods and the New
What for?,AMORY LORCH,WESTERLANDS,2,6,The Old Gods and the New
What might this be?,AMORY LORCH,WESTERLANDS,2,6,The Old Gods and the New
Why would he do that? Let's go and ask him.,AMORY LORCH,WESTERLANDS,2,6,The Old Gods and the New
Why?,AMORY LORCH,WESTERLANDS,2,6,The Old Gods and the New
"  Just a dirty little cub, I think.",ANGUY,RIVERLANDS,3,2,"Dark Wings, Dark Words"
" Here's the thing, fat",ANGUY,RIVERLANDS,3,2,"Dark Wings, Dark Words"
" Hey, hey.",ANGUY,RIVERLANDS,3,2,"Dark Wings, Dark Words"
" When I'm done talking, that arrow's falling down on your fat head. So I advise you move, because I'm done talking.",ANGUY,RIVERLANDS,3,2,"Dark Wings, Dark Words"
Generous.,ANGUY,RIVERLANDS,3,2,"Dark Wings, Dark Words"
Half the country's starving and look at this one.,ANGUY,RIVERLANDS,3,2,"Dark Wings, Dark Words"
One waits for him to drink until he passes out.,ANGUY,RIVERLANDS,3,2,"Dark Wings, Dark Words"
The fat to your left and the lad beside him.,ANGUY,RIVERLANDS,3,2,"Dark Wings, Dark Words"
" Now, apologies, but you're one ugly fucker and I'd rather not see you no more.",ANGUY,RIVERLANDS,3,3,Walk of Punishment
(sarcastically) Watch your head. Off we go.,ANGUY,RIVERLANDS,3,3,Walk of Punishment
Better than anyone you've ever met.,ANGUY,RIVERLANDS,3,3,Walk of Punishment
Why? So you can kiss him?,ANGUY,RIVERLANDS,3,3,Walk of Punishment
" And a kinder fate than you deserve. Lions you call yourselves. At the Mummer's Ford, girls of seven years were raped and babes still on the breast were cut in two while their mothers watched.",ANGUY,RIVERLANDS,3,4,And Now His Watch Is Ended
Murder is a crime.,ANGUY,RIVERLANDS,3,4,And Now His Watch Is Ended
Some of us were swineherds. And some of us tanners and masons. That was before.,ANGUY,RIVERLANDS,3,4,And Now His Watch Is Ended
We're outlaws. Outlaws steal. You're lucky we didn't kill you.,ANGUY,RIVERLANDS,3,5,Kissed by Fire
" Aye, but you took your sweet time of it. You won't be fighting straw men, little lady. Show me your position.",ANGUY,RIVERLANDS,3,6,The Climb
" Begging your pardon, m'lady, but we'll be the judge of that.",ANGUY,RIVERLANDS,3,6,The Climb
Bodkin point. Penetrates plate at 200 yards. Can you make 'em?,ANGUY,RIVERLANDS,3,6,The Climb
I'll get you the steel.,ANGUY,RIVERLANDS,3,6,The Climb
Keep your elbow high. You want your back doing the hard labor. You're holding. Never hold.,ANGUY,RIVERLANDS,3,6,The Climb
Never aim.,ANGUY,RIVERLANDS,3,6,The Climb
That's 'cause you're a girl.,ANGUY,RIVERLANDS,3,6,The Climb
That's about far enough.,ANGUY,RIVERLANDS,3,6,The Climb
You're good. You're not as good as you think you are.,ANGUY,RIVERLANDS,3,6,The Climb
Your eye knows where it wants the arrow to go. Trust your eye.,ANGUY,RIVERLANDS,3,6,The Climb
Your muscles tense up when you hold. Pull the string back to the center of your chin and release. Never hold.,ANGUY,RIVERLANDS,3,6,The Climb
Less than a day's ride south.,ANGUY,RIVERLANDS,3,7,The Bear and the Maiden Fair
No more than 20.,ANGUY,RIVERLANDS,3,7,The Bear and the Maiden Fair
Spotted a Lannister raiding party.,ANGUY,RIVERLANDS,3,7,The Bear and the Maiden Fair
" Free citizens of Meereen! By the blessings of the Graces and her majesty the Queen, welcome to the Great Games!",ANNOUNCER,ESSOS,5,9,The Dance of Dragons
" My queen, our first contest. Who will triumph: the strong or the quick?",ANNOUNCER,ESSOS,5,9,The Dance of Dragons
...or a Westerosi Knight?!,ANNOUNCER,ESSOS,5,9,The Dance of Dragons
A Meereenese champion?,ANNOUNCER,ESSOS,5,9,The Dance of Dragons
We ask again: who will triumph?,ANNOUNCER,ESSOS,5,9,The Dance of Dragons
" Lothor Brune, freerider in the service of Lord Baelish.",ANNOUNCER,WESTEROS,2,1,The North Remembers
(Yells) Ser Dontos the Red of House Hollard!,ANNOUNCER,WESTEROS,2,1,The North Remembers
Ser Dontos the Red of House Hollard.,ANNOUNCER,WESTEROS,2,1,The North Remembers
" A niece of yours, I believe.",ANYA WAYNWOOD,VALE,4,8,The Mountain and the Viper
" Come closer, child. You have nothing to fear from us or him. Lord Baelish here is your uncle? Your name is Alayne? Perhaps you would feel more comfortable if Lord Baelish left the room.",ANYA WAYNWOOD,VALE,4,8,The Mountain and the Viper
" Not much justice to be meted out in suicide, is there?",ANYA WAYNWOOD,VALE,4,8,The Mountain and the Viper
" Please, Alayne, leave nothing out.",ANYA WAYNWOOD,VALE,4,8,The Mountain and the Viper
" Shh. Shh, it's not your fault, sweet girl. It's not your fault.",ANYA WAYNWOOD,VALE,4,8,The Mountain and the Viper
" Tell us what happened to your aunt, Sansa.",ANYA WAYNWOOD,VALE,4,8,The Mountain and the Viper
" Who would you have us back, Lord Baelish? Robb Stark is dead.",ANYA WAYNWOOD,VALE,4,8,The Mountain and the Viper
" Yes, we all know how close you were. Lady Arryn's predilections were her own affair. Her death is our affair.",ANYA WAYNWOOD,VALE,4,8,The Mountain and the Viper
I wasn't asking you.,ANYA WAYNWOOD,VALE,4,8,The Mountain and the Viper
Lord Royce! This is hardly the time.,ANYA WAYNWOOD,VALE,4,8,The Mountain and the Viper
More often they die young.,ANYA WAYNWOOD,VALE,4,8,The Mountain and the Viper
No need. We prefer to hear her testimony unadulterated.,ANYA WAYNWOOD,VALE,4,8,The Mountain and the Viper
Robin Arryn is a sickly little boy.,ANYA WAYNWOOD,VALE,4,8,The Mountain and the Viper
She was an odd fish. Everyone knew that. But suicide? She adored that boy of hers. I don't see her abandoning him. Not by choice.,ANYA WAYNWOOD,VALE,4,8,The Mountain and the Viper
"  I put very little stock in it myself.  Prophecies of doom are never in short supply, especially when winter comes.",ARCHMAESTER EBROSE,WESTEROS,7,5,Eastwatch
"  The north has dulled many good maester's wits.  I'm not sure if it's the cold, the drink, or the company.",ARCHMAESTER EBROSE,WESTEROS,7,5,Eastwatch
A crippled boy claims to have seen dead men on the march beyond the wall thanks to the magical help of a raven with three eyes.,ARCHMAESTER EBROSE,WESTEROS,7,5,Eastwatch
Don't forget the Prophet Lodock that promised the Drowned God would rise up and destroy Aegon the Conquerer.,ARCHMAESTER EBROSE,WESTEROS,7,5,Eastwatch
Is he the one whose father and brother were just burned alive?,ARCHMAESTER EBROSE,WESTEROS,7,5,Eastwatch
Perhaps you need more scribing work to discipline your mind.,ARCHMAESTER EBROSE,WESTEROS,7,5,Eastwatch
That does seem far more likely than magic birds talking to cripples.,ARCHMAESTER EBROSE,WESTEROS,7,5,Eastwatch
The prince does not wish to be disturbed.,AREO HOTAH,DORNE,5,2,The House of Black and White
" When you were whole, it would have been a good fight.",AREO HOTAH,DORNE,5,6,"Unbowed, Unbent, Unbroken"
" Yes, my prince.",AREO HOTAH,DORNE,5,6,"Unbowed, Unbent, Unbroken"
Drop you weapons!,AREO HOTAH,DORNE,5,6,"Unbowed, Unbent, Unbroken"
Drop your weapons!,AREO HOTAH,DORNE,5,6,"Unbowed, Unbent, Unbroken"
I remember how.,AREO HOTAH,DORNE,5,6,"Unbowed, Unbent, Unbroken"
Prince Doran hopes this satisfies your concerns about the princess’s wellbeing.,AREO HOTAH,DORNE,5,7,The Gift
You’ll find out very soon.,AREO HOTAH,DORNE,5,9,The Dance of Dragons
" I’ll fight for you, my Lady.",ARRYN KNIGHT,VALE,1,6,A Golden Crown
" My lady, I beg the honor. Let me be your champion.",ARRYN KNIGHT,VALE,1,6,A Golden Crown
It’ll be my honor.,ARRYN KNIGHT,VALE,1,6,A Golden Crown
The honor should be mine.,ARRYN KNIGHT,VALE,1,6,A Golden Crown
The honor should be mine. For the love I bore your lord husband let me avenge his death.,ARRYN KNIGHT,VALE,1,6,A Golden Crown
" Welcome back, Lord Baelish.",ARRYN KNIGHT,VALE,4,5,First of His Name
Stand to!,ARRYN KNIGHT,VALE,4,5,First of His Name
Stand to!,ARRYN KNIGHT,VALE,4,5,First of His Name
Stand to.,ARRYN KNIGHT,VALE,4,5,First of His Name
Who would pass the Bloody Gate?,ARRYN KNIGHT,VALE,4,5,First of His Name
He asked you to stay.,ARRYN KNIGHT,VALE,5,2,The House of Black and White
I guess that means you’re unarmed.,ARRYN KNIGHT,VALE,5,2,The House of Black and White
And now it begins.,ARTHUR DAYNE,CROWN,6,3,Oathbreaker
Better.,ARTHUR DAYNE,CROWN,6,3,Oathbreaker
He called us his little birds. He gave us sweets.,ARTHUR DAYNE,CROWN,6,3,Oathbreaker
I wish you good fortune in the wars to come.,ARTHUR DAYNE,CROWN,6,3,Oathbreaker
Lord Stark.,ARTHUR DAYNE,CROWN,6,3,Oathbreaker
No one’s seen him.,ARTHUR DAYNE,CROWN,6,3,Oathbreaker
Our prince wanted us here.,ARTHUR DAYNE,CROWN,6,3,Oathbreaker
